campaignid,startdate,enddate,channel,impressions,clicks,leads,conversions,cost_usd,revenue_usd,roi,campaign_duration,profit,roas,profit_margin,ctr,lead_conversion_rate,customer_conversion_rate,cpc,cpl,cpa,start_year,start_month,start_month_name,quarter,weekday
CAMP00012,2025-03-29,2025-04-06,Search,107304,7128,918,463,3882.92,7276.43,0.87,8,3393.51,1.87,46.64,6.64,12.88,50.44,0.54,4.23,8.39,2025,3,March,1,Saturday
CAMP00013,2025-04-10,2025-04-15,Email,194692,11436,2217,936,973.85,2310.62,1.37,5,1336.77,2.37,57.85,5.87,19.39,42.22,0.09,0.44,1.04,2025,4,April,2,Thursday
CAMP00014,2025-12-26,2025-12-31,Search,207001,14356,4255,1931,2479.11,2827.93,0.14,5,348.8199999999997,1.14,12.33,6.94,29.64,45.38,0.17,0.58,1.28,2025,12,December,4,Friday
CAMP00015,2025-06-01,2025-06-06,Email,257862,23315,6190,1642,684.67,2001.69,1.92,5,1317.02,2.92,65.8,9.04,26.55,26.53,0.03,0.11,0.42,2025,6,June,2,Sunday
CAMP00016,2025-05-11,2025-05-24,Display,159957,8149,4006,1434,4229.14,8648.05,1.04,13,4418.909999999999,2.04,51.1,5.09,49.16,35.8,0.52,1.06,2.95,2025,5,May,2,Sunday
CAMP00017,2025-05-30,2025-06-14,Social,12103,168,80,38,4112.15,11010.78,1.68,15,6898.630000000001,2.68,62.65,1.39,47.62,47.5,24.48,51.4,108.21,2025,5,May,2,Friday
CAMP00018,2025-11-05,2025-11-17,Email,281690,22173,5700,1618,3399.93,5565.65,0.64,12,2165.72,1.64,38.91,7.87,25.71,28.39,0.15,0.6,2.1,2025,11,November,4,Wednesday
CAMP00019,2025-09-15,2025-09-24,Search,260948,21678,9055,3562,4608.11,7497.56,0.63,9,2889.4500000000007,1.63,38.54,8.31,41.77,39.34,0.21,0.51,1.29,2025,9,September,3,Monday
CAMP00020,2025-12-10,2025-12-19,Search,151528,2195,778,338,2059.75,5783.01,1.81,9,3723.26,2.81,64.38,1.45,35.44,43.44,0.94,2.65,6.09,2025,12,December,4,Wednesday
CAMP00021,2025-10-21,2025-11-03,Display,285372,9090,1793,924,746.69,922.13,0.23,13,175.43999999999994,1.23,19.03,3.19,19.72,51.53,0.08,0.42,0.81,2025,10,October,4,Tuesday
CAMP00022,2025-07-11,2025-07-18,Influencer,267190,21202,10017,2870,4880.6,5893.6,0.21,7,1013.0,1.21,17.19,7.94,47.25,28.65,0.23,0.49,1.7,2025,7,July,3,Friday
CAMP00023,2025-10-04,2025-10-11,Influencer,221014,9692,1975,1167,2614.07,6258.53,1.39,7,3644.4599999999996,2.39,58.23,4.39,20.38,59.09,0.27,1.32,2.24,2025,10,October,4,Saturday
CAMP00024,2025-06-10,2025-06-21,Search,120965,6355,2847,1671,2430.02,4694.93,0.93,11,2264.9100000000003,1.93,48.24,5.25,44.8,58.69,0.38,0.85,1.45,2025,6,June,2,Tuesday
CAMP00025,2025-11-10,2025-11-23,Influencer,20930,1759,624,127,412.25,1003.68,1.43,13,591.43,2.43,58.93,8.4,35.47,20.35,0.23,0.66,3.25,2025,11,November,4,Monday
CAMP00026,2025-01-22,2025-02-01,Social,85823,1589,553,191,2894.85,5401.22,0.87,10,2506.3700000000003,1.87,46.4,1.85,34.8,34.54,1.82,5.23,15.16,2025,1,January,1,Wednesday
CAMP00027,2025-09-10,2025-09-16,Influencer,256025,18166,7908,1796,3259.23,4639.47,0.42,6,1380.2400000000002,1.42,29.75,7.1,43.53,22.71,0.18,0.41,1.81,2025,9,September,3,Wednesday
CAMP00028,2025-08-24,2025-08-29,Social,204494,6001,1786,583,2418.62,5878.43,1.43,5,3459.8100000000004,2.43,58.86,2.93,29.76,32.64,0.4,1.35,4.15,2025,8,August,3,Sunday
CAMP00029,2025-12-11,2025-12-17,Search,83880,1311,578,255,4561.0,4917.26,0.08,6,356.2600000000002,1.08,7.25,1.56,44.09,44.12,3.48,7.89,17.89,2025,12,December,4,Thursday
CAMP00030,2025-02-18,2025-02-23,Search,223626,15569,4983,2209,3737.65,7086.3,0.9,5,3348.65,1.9,47.26,6.96,32.01,44.33,0.24,0.75,1.69,2025,2,February,1,Tuesday
CAMP00031,2025-02-28,2025-03-14,Search,177827,3721,1837,438,289.24,554.56,0.92,14,265.31999999999994,1.92,47.84,2.09,49.37,23.84,0.08,0.16,0.66,2025,2,February,1,Friday
CAMP00032,2025-06-19,2025-07-03,Display,188552,14561,5299,2495,2758.59,3188.53,0.16,14,429.94000000000005,1.16,13.48,7.72,36.39,47.08,0.19,0.52,1.11,2025,6,June,2,Thursday
CAMP00033,2025-07-07,2025-07-20,Influencer,12293,347,86,46,4969.0,7370.33,0.48,13,2401.33,1.48,32.58,2.82,24.78,53.49,14.32,57.78,108.02,2025,7,July,3,Monday
CAMP00034,2025-09-28,2025-10-12,Email,73542,1056,428,193,1078.76,1639.65,0.52,14,560.8900000000001,1.52,34.21,1.44,40.53,45.09,1.02,2.52,5.59,2025,9,September,3,Sunday
CAMP00035,2025-07-09,2025-07-21,Email,65528,1240,376,121,3124.16,8703.85,1.79,12,5579.6900000000005,2.79,64.11,1.89,30.32,32.18,2.52,8.31,25.82,2025,7,July,3,Wednesday
CAMP00036,2025-06-24,2025-07-05,Search,113885,9761,4123,828,1440.13,2916.67,1.03,11,1476.54,2.03,50.62,8.57,42.24,20.08,0.15,0.35,1.74,2025,6,June,2,Tuesday
CAMP00037,2025-02-20,2025-02-27,Influencer,150771,6541,2834,1301,1920.27,4496.36,1.34,7,2576.0899999999997,2.34,57.29,4.34,43.33,45.91,0.29,0.68,1.48,2025,2,February,1,Thursday
CAMP00038,2025-12-30,2026-01-11,Social,164506,6120,2122,999,264.81,293.89,0.11,12,29.079999999999984,1.11,9.89,3.72,34.67,47.08,0.04,0.12,0.27,2025,12,December,4,Tuesday
CAMP00039,2025-02-24,2025-03-02,Email,59669,3234,1451,701,3470.79,4189.11,0.21,6,718.3199999999997,1.21,17.15,5.42,44.87,48.31,1.07,2.39,4.95,2025,2,February,1,Monday
CAMP00040,2025-09-01,2025-09-07,Search,284746,19067,4983,1074,3852.05,8192.31,1.13,6,4340.259999999999,2.13,52.98,6.7,26.13,21.55,0.2,0.77,3.59,2025,9,September,3,Monday
CAMP00041,2025-11-16,2025-12-01,Email,176858,2359,290,117,3887.29,10379.97,1.67,15,6492.679999999999,2.67,62.55,1.33,12.29,40.34,1.65,13.4,33.22,2025,11,November,4,Sunday
CAMP00042,2025-05-11,2025-05-25,Email,277096,25170,9188,3357,4855.66,5370.17,0.11,14,514.5100000000002,1.11,9.58,9.08,36.5,36.54,0.19,0.53,1.45,2025,5,May,2,Sunday
CAMP00043,2025-11-03,2025-11-10,Email,121032,11650,4727,2396,4205.6,12477.79,1.97,7,8272.19,2.97,66.3,9.63,40.58,50.69,0.36,0.89,1.76,2025,11,November,4,Monday
CAMP00044,2025-05-15,2025-05-26,Search,37905,1802,232,113,1117.27,3095.83,1.77,11,1978.56,2.77,63.91,4.75,12.87,48.71,0.62,4.82,9.89,2025,5,May,2,Thursday
CAMP00045,2025-01-21,2025-01-26,Search,182996,8625,3522,2043,1229.73,3377.2,1.75,5,2147.47,2.75,63.59,4.71,40.83,58.01,0.14,0.35,0.6,2025,1,January,1,Tuesday
CAMP00046,2025-11-25,2025-12-07,Display,18381,1637,582,325,3863.15,3930.17,0.02,12,67.01999999999998,1.02,1.71,8.91,35.55,55.84,2.36,6.64,11.89,2025,11,November,4,Tuesday
CAMP00047,2025-06-16,2025-06-27,Display,255666,12435,1822,771,3906.84,7082.26,0.81,11,3175.42,1.81,44.84,4.86,14.65,42.32,0.31,2.14,5.07,2025,6,June,2,Monday
CAMP00048,2025-10-01,2025-10-09,Display,295274,25705,8122,4809,702.91,1821.61,1.59,8,1118.6999999999998,2.59,61.41,8.71,31.6,59.21,0.03,0.09,0.15,2025,10,October,4,Wednesday
CAMP00049,2025-03-30,2025-04-08,Email,35415,444,63,16,132.5,333.53,1.52,9,201.02999999999997,2.52,60.27,1.25,14.19,25.4,0.3,2.1,8.28,2025,3,March,1,Sunday
CAMP00050,2025-11-12,2025-11-26,Influencer,185200,10013,2289,464,2066.76,3495.47,0.69,14,1428.7099999999996,1.69,40.87,5.41,22.86,20.27,0.21,0.9,4.45,2025,11,November,4,Wednesday
CAMP00051,2025-01-14,2025-01-19,Search,89679,8583,3618,879,3503.9,9654.22,1.76,5,6150.32,2.76,63.71,9.57,42.15,24.3,0.41,0.97,3.99,2025,1,January,1,Tuesday
CAMP00052,2025-08-30,2025-09-07,Display,120458,3945,553,189,4346.66,9876.13,1.27,8,5529.469999999999,2.27,55.99,3.28,14.02,34.18,1.1,7.86,23.0,2025,8,August,3,Saturday
CAMP00053,2025-09-22,2025-09-27,Influencer,136460,4633,1314,659,910.12,2719.35,1.99,5,1809.23,2.99,66.53,3.4,28.36,50.15,0.2,0.69,1.38,2025,9,September,3,Monday
CAMP00054,2025-12-12,2025-12-17,Display,82652,5513,1887,666,4094.93,6836.28,0.67,5,2741.35,1.67,40.1,6.67,34.23,35.29,0.74,2.17,6.15,2025,12,December,4,Friday
CAMP00055,2025-02-22,2025-03-08,Display,155878,14552,6929,3549,3453.83,7899.24,1.29,14,4445.41,2.29,56.28,9.34,47.62,51.22,0.24,0.5,0.97,2025,2,February,1,Saturday
CAMP00056,2025-12-06,2025-12-11,Influencer,69333,1933,763,379,913.18,1688.45,0.85,5,775.2700000000001,1.85,45.92,2.79,39.47,49.67,0.47,1.2,2.41,2025,12,December,4,Saturday
CAMP00057,2025-04-02,2025-04-13,Display,241388,22436,3493,1808,4379.09,10050.49,1.3,11,5671.4,2.3,56.43,9.29,15.57,51.76,0.2,1.25,2.42,2025,4,April,2,Wednesday
CAMP00058,2025-09-21,2025-10-02,Email,115930,8076,3937,1082,4671.64,7098.74,0.52,11,2427.0999999999995,1.52,34.19,6.97,48.75,27.48,0.58,1.19,4.32,2025,9,September,3,Sunday
CAMP00059,2025-02-04,2025-02-12,Email,271996,27029,7870,3198,1402.45,2475.26,0.76,8,1072.8100000000002,1.76,43.34,9.94,29.12,40.64,0.05,0.18,0.44,2025,2,February,1,Tuesday
CAMP00060,2025-07-25,2025-07-31,Email,251355,19173,4752,2305,828.59,2373.46,1.86,6,1544.87,2.86,65.09,7.63,24.78,48.51,0.04,0.17,0.36,2025,7,July,3,Friday
CAMP00061,2025-03-22,2025-03-29,Social,194889,13662,2069,648,4841.37,7640.26,0.58,7,2798.8900000000003,1.58,36.63,7.01,15.14,31.32,0.35,2.34,7.47,2025,3,March,1,Saturday
CAMP00062,2025-02-19,2025-03-03,Display,165120,13761,6514,3486,212.13,475.47,1.24,12,263.34000000000003,2.24,55.39,8.33,47.34,53.52,0.02,0.03,0.06,2025,2,February,1,Wednesday
CAMP00063,2025-12-26,2026-01-07,Social,228622,5889,1969,1007,4747.16,13468.54,1.84,12,8721.380000000001,2.84,64.75,2.58,33.44,51.14,0.81,2.41,4.71,2025,12,December,4,Friday
CAMP00064,2025-01-02,2025-01-17,Search,118120,11237,5564,1379,1159.5,2274.99,0.96,15,1115.4899999999998,1.96,49.03,9.51,49.51,24.78,0.1,0.21,0.84,2025,1,January,1,Thursday
CAMP00065,2025-02-23,2025-03-10,Influencer,81596,2032,344,98,2246.84,5370.37,1.39,15,3123.5299999999997,2.39,58.16,2.49,16.93,28.49,1.11,6.53,22.93,2025,2,February,1,Sunday
CAMP00066,2025-04-16,2025-04-26,Search,246777,3037,966,284,1610.92,4021.01,1.5,10,2410.09,2.5,59.94,1.23,31.81,29.4,0.53,1.67,5.67,2025,4,April,2,Wednesday
CAMP00067,2025-09-17,2025-10-01,Social,260878,18993,2734,1507,853.17,1781.61,1.09,14,928.4399999999999,2.09,52.11,7.28,14.39,55.12,0.04,0.31,0.57,2025,9,September,3,Wednesday
CAMP00068,2025-11-06,2025-11-19,Email,275353,7328,2269,623,1827.14,3211.78,0.76,13,1384.64,1.76,43.11,2.66,30.96,27.46,0.25,0.81,2.93,2025,11,November,4,Thursday
CAMP00069,2025-07-10,2025-07-25,Display,58482,4578,2087,936,2742.31,7176.22,1.62,15,4433.91,2.62,61.79,7.83,45.59,44.85,0.6,1.31,2.93,2025,7,July,3,Thursday
CAMP00070,2025-08-06,2025-08-19,Display,154148,12571,1806,408,559.75,1180.08,1.11,13,620.3299999999999,2.11,52.57,8.16,14.37,22.59,0.04,0.31,1.37,2025,8,August,3,Wednesday
CAMP00071,2025-02-13,2025-02-21,Email,122458,3833,796,335,4064.97,5009.16,0.23,8,944.19,1.23,18.85,3.13,20.77,42.09,1.06,5.11,12.13,2025,2,February,1,Thursday
CAMP00072,2025-06-11,2025-06-16,Display,124614,2218,827,212,4021.87,11056.48,1.75,5,7034.61,2.75,63.62,1.78,37.29,25.63,1.81,4.86,18.97,2025,6,June,2,Wednesday
CAMP00073,2025-07-21,2025-07-26,Influencer,94484,5203,679,292,4007.66,6391.78,0.59,5,2384.12,1.59,37.3,5.51,13.05,43.0,0.77,5.9,13.72,2025,7,July,3,Monday
CAMP00074,2025-09-27,2025-10-11,Influencer,154151,13892,3911,1357,3463.6,6881.77,0.99,14,3418.1700000000005,1.99,49.67,9.01,28.15,34.7,0.25,0.89,2.55,2025,9,September,3,Saturday
CAMP00075,2025-12-17,2025-12-26,Influencer,186810,16113,3757,1661,2330.79,3327.47,0.43,9,996.6799999999998,1.43,29.95,8.63,23.32,44.21,0.14,0.62,1.4,2025,12,December,4,Wednesday
CAMP00076,2025-10-31,2025-11-06,Search,279849,5747,2501,894,4185.25,8309.05,0.99,6,4123.799999999999,1.99,49.63,2.05,43.52,35.75,0.73,1.67,4.68,2025,10,October,4,Friday
CAMP00077,2025-09-28,2025-10-08,Email,114165,11054,1322,716,4274.06,5378.93,0.26,10,1104.87,1.26,20.54,9.68,11.96,54.16,0.39,3.23,5.97,2025,9,September,3,Sunday
CAMP00078,2025-08-03,2025-08-14,Influencer,15248,514,228,114,1498.74,3196.1,1.13,11,1697.36,2.13,53.11,3.37,44.36,50.0,2.92,6.57,13.15,2025,8,August,3,Sunday
CAMP00079,2025-09-09,2025-09-14,Social,94169,3902,1488,800,2456.66,5025.25,1.05,5,2568.59,2.05,51.11,4.14,38.13,53.76,0.63,1.65,3.07,2025,9,September,3,Tuesday
CAMP00080,2025-07-09,2025-07-19,Influencer,100039,2342,512,147,1094.52,2886.06,1.64,10,1791.54,2.64,62.08,2.34,21.86,28.71,0.47,2.14,7.45,2025,7,July,3,Wednesday
CAMP00081,2025-10-23,2025-11-04,Search,12461,548,98,25,1353.37,2868.87,1.12,12,1515.5,2.12,52.83,4.4,17.88,25.51,2.47,13.81,54.13,2025,10,October,4,Thursday
CAMP00082,2025-08-01,2025-08-10,Social,163070,10959,5261,2225,1270.87,2309.79,0.82,9,1038.92,1.82,44.98,6.72,48.01,42.29,0.12,0.24,0.57,2025,8,August,3,Friday
CAMP00083,2025-07-27,2025-08-07,Email,148893,8270,2659,1460,4152.04,8024.53,0.93,11,3872.49,1.93,48.26,5.55,32.15,54.91,0.5,1.56,2.84,2025,7,July,3,Sunday
CAMP00084,2025-08-25,2025-09-08,Email,24870,2100,499,121,1329.0,2936.38,1.21,14,1607.38,2.21,54.74,8.44,23.76,24.25,0.63,2.66,10.98,2025,8,August,3,Monday
CAMP00085,2025-12-04,2025-12-14,Influencer,18410,1246,146,42,2776.94,7439.86,1.68,10,4662.92,2.68,62.67,6.77,11.72,28.77,2.23,19.02,66.12,2025,12,December,4,Thursday
CAMP00086,2025-02-22,2025-03-02,Social,92721,3126,519,258,3178.41,3443.69,0.08,8,265.2800000000002,1.08,7.7,3.37,16.6,49.71,1.02,6.12,12.32,2025,2,February,1,Saturday
CAMP00087,2025-10-07,2025-10-18,Social,24133,1452,492,189,3748.95,10696.46,1.85,11,6947.509999999999,2.85,64.95,6.02,33.88,38.41,2.58,7.62,19.84,2025,10,October,4,Tuesday
CAMP00088,2025-08-05,2025-08-19,Influencer,290503,4583,1398,617,242.14,282.76,0.17,14,40.620000000000005,1.17,14.37,1.58,30.5,44.13,0.05,0.17,0.39,2025,8,August,3,Tuesday
CAMP00089,2025-09-09,2025-09-22,Influencer,197457,12295,4955,2163,2431.16,4107.2,0.69,13,1676.04,1.69,40.81,6.23,40.3,43.65,0.2,0.49,1.12,2025,9,September,3,Tuesday
CAMP00090,2025-07-07,2025-07-21,Display,32400,1460,633,231,1533.78,2565.03,0.67,14,1031.2500000000002,1.67,40.2,4.51,43.36,36.49,1.05,2.42,6.64,2025,7,July,3,Monday
CAMP00091,2025-02-10,2025-02-24,Display,39173,738,191,92,4186.47,8638.77,1.06,14,4452.3,2.06,51.54,1.88,25.88,48.17,5.67,21.92,45.51,2025,2,February,1,Monday
CAMP00092,2025-06-06,2025-06-17,Influencer,16179,609,85,45,280.07,478.73,0.71,11,198.66000000000003,1.71,41.5,3.76,13.96,52.94,0.46,3.29,6.22,2025,6,June,2,Friday
CAMP00093,2025-01-15,2025-01-24,Search,197958,17980,7490,4217,1114.27,1602.92,0.44,9,488.6500000000001,1.44,30.48,9.08,41.66,56.3,0.06,0.15,0.26,2025,1,January,1,Wednesday
CAMP00094,2025-10-28,2025-11-08,Display,40495,2540,816,178,1647.22,2449.17,0.49,11,801.95,1.49,32.74,6.27,32.13,21.81,0.65,2.02,9.25,2025,10,October,4,Tuesday
CAMP00095,2025-03-06,2025-03-13,Influencer,273631,24980,12288,5178,481.42,1430.1,1.97,7,948.6799999999998,2.97,66.34,9.13,49.19,42.14,0.02,0.04,0.09,2025,3,March,1,Thursday
CAMP00096,2025-12-11,2025-12-17,Social,19760,928,388,83,2037.55,5446.95,1.67,6,3409.3999999999996,2.67,62.59,4.7,41.81,21.39,2.2,5.25,24.55,2025,12,December,4,Thursday
CAMP00097,2025-11-23,2025-12-08,Display,96975,9513,2203,1234,3744.47,9776.61,1.61,15,6032.140000000001,2.61,61.7,9.81,23.16,56.01,0.39,1.7,3.03,2025,11,November,4,Sunday
CAMP00098,2025-01-09,2025-01-18,Search,97465,4132,1121,416,1140.34,2096.56,0.84,9,956.22,1.84,45.61,4.24,27.13,37.11,0.28,1.02,2.74,2025,1,January,1,Thursday
CAMP00099,2025-12-10,2025-12-18,Email,207899,16239,3154,1766,3796.9,10906.09,1.87,8,7109.1900000000005,2.87,65.19,7.81,19.42,55.99,0.23,1.2,2.15,2025,12,December,4,Wednesday
CAMP00100,2025-05-09,2025-05-18,Social,296547,11116,3388,931,2692.17,3029.86,0.13,9,337.69000000000005,1.13,11.15,3.75,30.48,27.48,0.24,0.79,2.89,2025,5,May,2,Friday
CAMP00101,2025-05-16,2025-05-28,Search,204109,3988,1532,405,1789.15,2237.56,0.25,12,448.40999999999985,1.25,20.04,1.95,38.42,26.44,0.45,1.17,4.42,2025,5,May,2,Friday
CAMP00102,2025-03-04,2025-03-12,Search,120625,10250,3536,1991,1907.15,2848.22,0.49,8,941.0699999999997,1.49,33.04,8.5,34.5,56.31,0.19,0.54,0.96,2025,3,March,1,Tuesday
CAMP00103,2025-05-19,2025-06-01,Search,6755,531,125,71,669.9,1529.64,1.28,13,859.7400000000001,2.28,56.21,7.86,23.54,56.8,1.26,5.36,9.44,2025,5,May,2,Monday
CAMP00104,2025-03-22,2025-04-02,Social,133500,11194,4805,2434,1323.93,1765.74,0.33,11,441.80999999999995,1.33,25.02,8.39,42.92,50.66,0.12,0.28,0.54,2025,3,March,1,Saturday
CAMP00105,2025-06-12,2025-06-26,Search,172230,6367,904,261,3683.0,6157.97,0.67,14,2474.9700000000003,1.67,40.19,3.7,14.2,28.87,0.58,4.07,14.11,2025,6,June,2,Thursday
CAMP00106,2025-10-16,2025-10-27,Email,76352,5598,879,236,4327.45,5861.25,0.35,11,1533.8000000000002,1.35,26.17,7.33,15.7,26.85,0.77,4.92,18.34,2025,10,October,4,Thursday
CAMP00107,2025-09-18,2025-09-30,Display,203498,6062,1586,791,1401.43,3642.78,1.6,12,2241.3500000000004,2.6,61.53,2.98,26.16,49.87,0.23,0.88,1.77,2025,9,September,3,Thursday
CAMP00108,2025-08-19,2025-08-29,Social,117133,1290,491,222,2984.48,8411.37,1.82,10,5426.890000000001,2.82,64.52,1.1,38.06,45.21,2.31,6.08,13.44,2025,8,August,3,Tuesday
CAMP00109,2025-02-10,2025-02-22,Search,12688,1116,421,231,270.16,729.65,1.7,12,459.48999999999995,2.7,62.97,8.8,37.72,54.87,0.24,0.64,1.17,2025,2,February,1,Monday
CAMP00110,2025-01-28,2025-02-04,Influencer,240876,13758,3392,1053,479.29,505.48,0.05,7,26.189999999999998,1.05,5.18,5.71,24.65,31.04,0.03,0.14,0.46,2025,1,January,1,Tuesday
CAMP00111,2025-05-15,2025-05-29,Display,175556,17297,6549,2083,4825.4,7886.67,0.63,14,3061.2700000000004,1.63,38.82,9.85,37.86,31.81,0.28,0.74,2.32,2025,5,May,2,Thursday
CAMP00112,2025-07-20,2025-08-03,Social,195927,8748,1086,535,4492.88,10222.04,1.28,14,5729.160000000001,2.28,56.05,4.46,12.41,49.26,0.51,4.14,8.4,2025,7,July,3,Sunday
CAMP00113,2025-11-24,2025-11-29,Influencer,154651,14864,3210,985,498.28,498.97,0.0,5,0.6900000000000546,1.0,0.14,9.61,21.6,30.69,0.03,0.16,0.51,2025,11,November,4,Monday
CAMP00114,2025-09-25,2025-10-05,Influencer,149086,9743,3678,1415,4129.41,10293.46,1.49,10,6164.049999999999,2.49,59.88,6.54,37.75,38.47,0.42,1.12,2.92,2025,9,September,3,Thursday
CAMP00115,2025-02-02,2025-02-07,Search,53443,2998,520,212,602.27,1648.75,1.74,5,1046.48,2.74,63.47,5.61,17.34,40.77,0.2,1.16,2.84,2025,2,February,1,Sunday
CAMP00116,2025-02-17,2025-03-02,Social,178033,6632,1227,573,4159.67,4805.09,0.16,13,645.4200000000001,1.16,13.43,3.73,18.5,46.7,0.63,3.39,7.26,2025,2,February,1,Monday
CAMP00117,2025-03-03,2025-03-09,Search,194986,16432,2214,747,4576.15,8522.82,0.86,6,3946.67,1.86,46.31,8.43,13.47,33.74,0.28,2.07,6.13,2025,3,March,1,Monday
CAMP00118,2025-08-04,2025-08-19,Email,41397,3501,860,467,850.12,1364.99,0.61,15,514.87,1.61,37.72,8.46,24.56,54.3,0.24,0.99,1.82,2025,8,August,3,Monday
CAMP00119,2025-10-20,2025-10-26,Influencer,248818,11824,5083,1834,821.44,2377.15,1.89,6,1555.71,2.89,65.44,4.75,42.99,36.08,0.07,0.16,0.45,2025,10,October,4,Monday
CAMP00120,2025-04-09,2025-04-20,Email,183250,13827,6008,1301,4640.2,7653.87,0.65,11,3013.67,1.65,39.37,7.55,43.45,21.65,0.34,0.77,3.57,2025,4,April,2,Wednesday
CAMP00121,2025-06-21,2025-06-27,Search,6063,304,135,30,1577.02,3409.32,1.16,6,1832.3000000000002,2.16,53.74,5.01,44.41,22.22,5.19,11.68,52.57,2025,6,June,2,Saturday
CAMP00122,2025-12-26,2026-01-09,Display,80848,6190,709,417,2416.01,2459.79,0.02,14,43.779999999999745,1.02,1.78,7.66,11.45,58.82,0.39,3.41,5.79,2025,12,December,4,Friday
CAMP00123,2025-08-02,2025-08-14,Influencer,172115,17121,8515,3821,1591.75,4255.07,1.67,12,2663.3199999999997,2.67,62.59,9.95,49.73,44.87,0.09,0.19,0.42,2025,8,August,3,Saturday
CAMP00124,2025-02-04,2025-02-14,Display,115687,3889,1170,463,3771.75,3992.67,0.06,10,220.92000000000007,1.06,5.53,3.36,30.08,39.57,0.97,3.22,8.15,2025,2,February,1,Tuesday
CAMP00125,2025-08-15,2025-08-26,Social,131230,8800,3951,2164,1134.32,2425.7,1.14,11,1291.3799999999999,2.14,53.24,6.71,44.9,54.77,0.13,0.29,0.52,2025,8,August,3,Friday
CAMP00126,2025-04-11,2025-04-22,Influencer,266234,11764,5435,2645,2521.19,6256.15,1.48,11,3734.9599999999996,2.48,59.7,4.42,46.2,48.67,0.21,0.46,0.95,2025,4,April,2,Friday
CAMP00127,2025-05-11,2025-05-21,Email,213347,12662,3872,1055,4267.27,7652.27,0.79,10,3385.0,1.79,44.24,5.93,30.58,27.25,0.34,1.1,4.04,2025,5,May,2,Sunday
CAMP00128,2025-09-14,2025-09-28,Display,140141,12426,1496,303,4718.98,5017.85,0.06,14,298.8700000000008,1.06,5.96,8.87,12.04,20.25,0.38,3.15,15.57,2025,9,September,3,Sunday
CAMP00129,2025-01-05,2025-01-20,Social,266252,10991,3725,2208,1828.4,5122.16,1.8,15,3293.7599999999998,2.8,64.3,4.13,33.89,59.28,0.17,0.49,0.83,2025,1,January,1,Sunday
CAMP00130,2025-08-06,2025-08-19,Influencer,151676,2504,585,264,658.45,1140.53,0.73,13,482.0799999999999,1.73,42.27,1.65,23.36,45.13,0.26,1.13,2.49,2025,8,August,3,Wednesday
CAMP00131,2025-09-12,2025-09-25,Social,19612,1606,293,114,4067.46,7859.64,0.93,13,3792.1800000000003,1.93,48.25,8.19,18.24,38.91,2.53,13.88,35.68,2025,9,September,3,Friday
